"No.","Time","Source","Destination","Protocol","Length","Info"
"35","1.830860","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"36","1.886304","fe80::d0af:68ff:fe81:eeec","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"37","2.006815","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d0af:68ff:fe81:eeec"
"38","2.106309","fe80::d0af:68ff:fe81:eeec","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"39","2.315261","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"40","2.563728","172.25.1.1","224.0.0.251","MDNS","180","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::14e9:4dff:fe4d:727"
"41","2.563773","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::14e9:4dff:fe4d:727"
"42","2.594650","172.25.1.1","224.0.0.251","MDNS","119","Standard query response 0x0000 PTR, cache flush debian.local A, cache flush 172.25.1.1"
"43","3.047542","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d0af:68ff:fe81:eeec"
"44","3.501602","172.25.1.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"45","3.831665","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"46","4.315987","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"47","4.502484","172.25.1.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"48","4.604515","172.25.1.1","224.0.0.251","MDNS","180","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::14e9:4dff:fe4d:727"
"49","4.604574","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::14e9:4dff:fe4d:727"
"50","5.088213","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","200","Standard query response 0x0000 PTR, cache flush debian.local AAAA, cache flush fe80::d0af:68ff:fe81:eeec"
"51","5.342243","fe80::d0af:68ff:fe81:eeec","ff02::2","ICMPv6","70","Router Solicitation from d2:af:68:81:ee:ec"
"52","5.502549","172.25.1.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"53","5.824894","172.25.1.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"54","6.502125","172.25.1.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"55","6.502194","172.25.1.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"56","6.503332","172.25.1.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"57","7.502993","172.25.1.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"58","7.503272","172.25.1.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"59","7.831749","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"60","7.904257","9e:b7:db:e1:d9:5a","Broadcast","ARP","42","Who has 172.25.1.20? Tell 172.25.1.30"
"61","8.316423","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"62","9.503294","172.25.1.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"63","9.503392","172.25.1.1","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"64","13.018330","fe80::d0af:68ff:fe81:eeec","ff02::2","ICMPv6","70","Router Solicitation from d2:af:68:81:ee:ec"
"65","13.516326","c6:26:ec:5a:48:bc","Broadcast","ARP","42","Who has 172.25.1.10? Tell 172.25.1.20"
"66","13.522423","be:d6:af:16:03:5b","Broadcast","ARP","42","Who has 172.25.1.20? Tell 172.25.1.40"
"67","13.522444","c6:26:ec:5a:48:bc","be:d6:af:16:03:5b","ARP","42","172.25.1.20 is at c6:26:ec:5a:48:bc"
"68","13.522446","172.25.1.40","172.25.1.20","TCP","74","40270  >  5556 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3644742914 TSecr=0 WS=128"
"69","13.522457","172.25.1.20","172.25.1.40","TCP","74","5556  >  40270 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1166049039 TSecr=3644742914 WS=128"
"70","13.522463","172.25.1.40","172.25.1.20","TCP","66","40270  >  5556 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3644742914 TSecr=1166049039"
"71","13.522502","172.25.1.40","172.25.1.20","HTTP","509","POST /token HTTP/1.1  (application/x-www-form-urlencoded)"
"72","13.522519","172.25.1.20","172.25.1.40","TCP","66","5556  >  40270 [ACK] Seq=1 Ack=444 Win=64768 Len=0 TSval=1166049039 TSecr=3644742914"
"73","13.526190","172.25.1.20","172.25.1.40","HTTP/JSON","2036","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
"74","13.526196","172.25.1.40","172.25.1.20","TCP","66","40270  >  5556 [ACK] Seq=444 Ack=1971 Win=64000 Len=0 TSval=3644742917 TSecr=1166049042"
"75","13.526261","172.25.1.40","172.25.1.20","TCP","66","40270  >  5556 [FIN, ACK] Seq=444 Ack=1971 Win=64128 Len=0 TSval=3644742918 TSecr=1166049042"
"76","13.526305","172.25.1.20","172.25.1.40","TCP","66","5556  >  40270 [FIN, ACK] Seq=1971 Ack=445 Win=64768 Len=0 TSval=1166049043 TSecr=3644742918"
"77","13.526312","172.25.1.40","172.25.1.20","TCP","66","40270  >  5556 [ACK] Seq=445 Ack=1972 Win=64128 Len=0 TSval=3644742918 TSecr=1166049043"
"78","13.528820","172.25.1.40","172.25.1.20","TCP","74","40284  >  5556 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3644742920 TSecr=0 WS=128"
"79","13.528834","172.25.1.20","172.25.1.40","TCP","74","5556  >  40284 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1166049045 TSecr=3644742920 WS=128"
"80","13.528838","172.25.1.40","172.25.1.20","TCP","66","40284  >  5556 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3644742920 TSecr=1166049045"
"81","13.528875","172.25.1.40","172.25.1.20","HTTP","213","GET /keys HTTP/1.1 "
"82","13.528879","172.25.1.20","172.25.1.40","TCP","66","5556  >  40284 [ACK] Seq=1 Ack=148 Win=65024 Len=0 TSval=1166049045 TSecr=3644742920"
"83","13.529305","172.25.1.20","172.25.1.40","HTTP/JSON","747","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
"84","13.529312","172.25.1.40","172.25.1.20","TCP","66","40284  >  5556 [ACK] Seq=148 Ack=682 Win=64128 Len=0 TSval=3644742921 TSecr=1166049046"
"85","13.529330","172.25.1.40","172.25.1.20","TCP","66","40284  >  5556 [FIN, ACK] Seq=148 Ack=682 Win=64128 Len=0 TSval=3644742921 TSecr=1166049046"
"86","13.529405","172.25.1.20","172.25.1.40","TCP","66","5556  >  40284 [FIN, ACK] Seq=682 Ack=149 Win=65024 Len=0 TSval=1166049046 TSecr=3644742921"
"87","13.529420","172.25.1.40","172.25.1.20","TCP","66","40284  >  5556 [ACK] Seq=149 Ack=683 Win=64128 Len=0 TSval=3644742921 TSecr=1166049046"
"88","13.529750","172.25.1.40","172.25.1.20","TCP","74","40294  >  5556 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3644742921 TSecr=0 WS=128"
"89","13.529759","172.25.1.20","172.25.1.40","TCP","74","5556  >  40294 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1166049046 TSecr=3644742921 WS=128"
"90","13.529763","172.25.1.40","172.25.1.20","TCP","66","40294  >  5556 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3644742921 TSecr=1166049046"
"91","13.529787","172.25.1.40","172.25.1.20","HTTP","1090","GET /userinfo HTTP/1.1 "
"92","13.529791","172.25.1.20","172.25.1.40","TCP","66","5556  >  40294 [ACK] Seq=1 Ack=1025 Win=64256 Len=0 TSval=1166049046 TSecr=3644742921"
"93","13.531058","172.25.1.20","172.25.1.40","HTTP/JSON","489","HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
"94","13.531071","172.25.1.40","172.25.1.20","TCP","66","40294  >  5556 [ACK] Seq=1025 Ack=424 Win=64128 Len=0 TSval=3644742922 TSecr=1166049047"
"95","13.531109","172.25.1.40","172.25.1.20","TCP","66","40294  >  5556 [FIN, ACK] Seq=1025 Ack=424 Win=64128 Len=0 TSval=3644742922 TSecr=1166049047"
"96","13.531141","172.25.1.20","172.25.1.40","TCP","66","5556  >  40294 [FIN, ACK] Seq=424 Ack=1026 Win=64256 Len=0 TSval=1166049047 TSecr=3644742922"
"97","13.531146","172.25.1.40","172.25.1.20","TCP","66","40294  >  5556 [ACK] Seq=1026 Ack=425 Win=64128 Len=0 TSval=3644742922 TSecr=1166049047"
"98","13.826008","172.25.1.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"99","15.832513","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"100","16.316571","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"101","18.650374","c6:26:ec:5a:48:bc","be:d6:af:16:03:5b","ARP","42","Who has 172.25.1.40? Tell 172.25.1.20"
"102","18.650390","be:d6:af:16:03:5b","c6:26:ec:5a:48:bc","ARP","42","172.25.1.40 is at be:d6:af:16:03:5b"
"103","27.610341","fe80::d0af:68ff:fe81:eeec","ff02::2","ICMPv6","70","Router Solicitation from d2:af:68:81:ee:ec"
"104","29.826898","172.25.1.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"105","31.833466","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"106","32.317571","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"107","56.026273","fe80::d0af:68ff:fe81:eeec","ff02::2","ICMPv6","70","Router Solicitation from d2:af:68:81:ee:ec"
"108","61.827797","172.25.1.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"109","63.833521","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"110","64.318077","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"111","111.322345","fe80::d0af:68ff:fe81:eeec","ff02::2","ICMPv6","70","Router Solicitation from d2:af:68:81:ee:ec"
"112","123.502731","172.25.1.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"113","124.503901","172.25.1.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"114","125.504179","172.25.1.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"115","125.827467","172.25.1.1","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"116","126.505216","172.25.1.1","239.255.255.250","SSDP","214","M-SEARCH * HTTP/1.1 "
"117","127.834469","fe80::14e9:4dff:fe4d:727","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"118","128.318634","fe80::d0af:68ff:fe81:eeec","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
